ch_1_SPECTRO_GRAPH;ch_1_SPECTRO;1
568333;2;1.41421
569000;1;1
569667;1;1
570333;0;0
571000;0;0
571667;1;1
572333;1;1
573000;0;0
573667;1;1
574333;2;1.41421
575000;0;0
575667;1;1
576333;0;0
577000;2;1.41421
577667;0;0
578333;1;1
579000;1;1
579667;1;1
580333;1;1
581000;1;1
581667;1;1
582333;0;0
583000;4;2
583667;0;0
584333;0;0
585000;0;0
585667;1;1
586333;0;0
587000;4;2
587667;2;1.41421
588333;1;1
589000;2;1.41421
589667;2;1.41421
590333;2;1.41421
591000;2;1.41421
591667;1;1
592333;2;1.41421
593000;2;1.41421
593667;1;1
594333;1;1
595000;2;1.41421
595667;1;1
596333;3;1.73205
597000;1;1
597667;0;0
598333;1;1
599000;1;1
599667;1;1
600333;0;0
601000;1;1
601667;2;1.41421
602333;0;0
603000;1;1
603667;0;0
604333;0;0
605000;1;1
605667;2;1.41421
606333;2;1.41421
607000;1;1
607667;0;0
608333;3;1.73205
609000;2;1.41421
609667;0;0
610333;1;1
611000;2;1.41421
611667;1;1
612333;0;0
613000;2;1.41421
613667;2;1.41421
614333;3;1.73205
615000;0;0
615667;1;1
616333;1;1
617000;2;1.41421
617667;1;1
618333;0;0
619000;0;0
619667;1;1
620333;0;0
621000;2;1.41421
621667;0;0
622333;1;1
623000;0;0
623667;1;1
624333;0;0
625000;1;1
625667;1;1
626333;3;1.73205
627000;1;1
627667;4;2
628333;3;1.73205
629000;2;1.41421
629667;1;1
630333;0;0
631000;0;0
631667;2;1.41421
632333;1;1
633000;1;1
633667;1;1
634333;1;1
635000;0;0
635667;0;0
636333;1;1
637000;1;1
637667;3;1.73205
638333;0;0
639000;0;0
639667;0;0
640333;1;1
641000;0;0
641667;3;1.73205
642333;3;1.73205
643000;5;2.23607
643667;1;1
644333;1;1
645000;2;1.41421
645667;0;0
646333;3;1.73205
647000;1;1
647667;1;1
648333;0;0
649000;1;1
649667;3;1.73205
650333;0;0
651000;1;1
651667;0;0
652333;1;1
653000;2;1.41421
653667;3;1.73205
654333;1;1
655000;2;1.41421
655667;1;1
656333;2;1.41421
657000;1;1
657667;3;1.73205
658333;1;1
659000;3;1.73205
659667;0;0
660333;0;0
661000;1;1
661667;1;1
662333;1;1
663000;2;1.41421
663667;1;1
664333;1;1
665000;2;1.41421
